Date,Merchant,Amount,Category
2017-01-11,C71562765,268912.48,TRANSFER
2017-01-08,M848116774,245.4,PAYMENT
2017-01-14,C352607904,35206.18,TRANSFER
2017-01-06,M2113537778,13382.29,PAYMENT
2017-01-11,C2002792683,4859.63,CASH_IN
2017-01-02,C1728460906,518339.83,TRANSFER
2017-01-02,C2146875526,451310.12,TRANSFER
2017-01-15,C381600260,161121.07,CASH_IN
2017-01-27,C1575083932,49364.07,CASH_OUT
2017-01-16,C158242145,92119.49,CASH_IN
2017-01-15,C814784749,282508.76,CASH_IN
2017-01-10,C453039491,813462.62,TRANSFER
2017-01-13,C968695097,53797.94,CASH_OUT
2017-01-10,M8961529,82797.84,PAYMENT
2017-01-02,C94238070,529508.88,CASH_OUT
2017-01-13,M1131873222,13763.87,PAYMENT
2017-01-15,M1646382835,13176.51,PAYMENT
2017-01-14,M703071544,58760.91,PAYMENT
2017-01-14,C533887341,1096.42,DEBIT
2017-01-10,C615345603,42843.05,CASH_OUT
2017-01-10,C97617767,74833.8,CASH_IN
2017-01-13,C1122394266,206764.77,CASH_IN
2017-01-17,C743500120,164032.21,CASH_OUT
2017-01-25,M184735125,9296.83,PAYMENT
2017-01-11,C1881669628,235731.9,CASH_OUT
2017-01-08,C1727221386,142259.85,CASH_OUT
2017-01-15,M1933926398,8164.01,PAYMENT
2017-01-15,C1373973293,95263.11,CASH_IN
2017-01-13,C726198580,249585.52,CASH_IN
2017-01-08,C256865139,396792.55,CASH_IN
2017-01-09,M1991416,15068.73,PAYMENT
2017-01-08,C327341526,440773.08,CASH_OUT
2017-01-07,M1309930156,14298.25,PAYMENT
2017-01-08,C265777076,78108.5,CASH_IN
2017-01-11,M1695671000,12596.61,PAYMENT
2017-01-08,C974768731,31141.94,CASH_IN
2017-01-16,M1527627185,1251.94,PAYMENT
2017-01-16,M1374852383,1068.21,PAYMENT
2017-01-04,C1121802556,455834.18,CASH_IN
2017-01-06,M698251819,14511.02,PAYMENT
2017-01-14,C1904483493,28591.42,CASH_OUT
2017-01-01,C2136570309,193890.52,CASH_IN
2017-01-06,C1300578648,129041.74,CASH_OUT
2017-01-06,C922807181,215925.55,CASH_OUT
2017-01-08,C1755130739,136964.13,CASH_OUT
2017-01-02,M1662786733,3551.26,PAYMENT
2017-01-01,C1210180003,1331086.47,TRANSFER
2017-01-17,C58016175,244211.66,CASH_OUT
2017-01-09,M2030050716,2901.96,PAYMENT
2017-01-17,C1377074488,386669.45,CASH_OUT
2017-01-07,M1911445805,24104.54,PAYMENT
2017-01-09,C850683997,265293.29,CASH_IN
2017-01-01,C274824257,619.31,CASH_OUT
2017-01-13,C1378537795,875582.25,TRANSFER
2017-01-14,C580319947,54330.72,CASH_OUT
2017-01-11,M300081380,13344.1,PAYMENT
2017-01-13,M317737019,8579.34,PAYMENT
2017-01-02,C1939378466,163051.33,CASH_OUT
2017-01-13,C407792911,110568.66,CASH_IN
2017-01-07,M2011269895,22434.71,PAYMENT
2017-01-01,C193625667,313664.24,CASH_OUT
2017-01-09,C1698289399,125991.42,CASH_OUT
2017-01-15,C538113947,93496.01,CASH_OUT
2017-01-07,C61031593,113147.72,CASH_IN
2017-01-09,C45958213,437371.03,TRANSFER
2017-01-01,M1629378206,7848.71,PAYMENT
2017-01-11,C1622552473,296870.15,CASH_IN
2017-01-17,C545660061,46773.06,CASH_IN
2017-01-14,C1234632255,106799.55,CASH_IN
2017-01-12,C1514199309,327534.3,TRANSFER
2017-01-22,C1837241611,153990.5,TRANSFER
2017-01-02,C1293949664,935639.61,TRANSFER
2017-01-11,C1939084847,423808.74,CASH_OUT
2017-01-07,M1435742536,12209.45,PAYMENT
2017-01-15,C1891826460,220141.98,CASH_IN
2017-01-02,C644421104,320395.22,CASH_IN
2017-01-06,M2080924806,5222.23,PAYMENT
2017-01-10,M17092044,29279.51,PAYMENT
2017-01-11,M830219798,206.84,PAYMENT
2017-01-06,C1905045732,71997.46,CASH_OUT
2017-01-01,C1664754826,135411.69,CASH_OUT
2017-01-09,C1440200379,68324.55,TRANSFER
2017-01-06,C2074710753,29158.25,CASH_IN
2017-01-07,C1631252583,297656.83,CASH_IN
2017-01-12,C773052859,156765.52,CASH_OUT
2017-01-29,C2085820540,93483.23,CASH_OUT
2017-01-02,C1790242902,218440.55,CASH_OUT
2017-01-17,M1625741812,14872.25,PAYMENT
2017-01-13,M1798263689,25540.34,PAYMENT
2017-01-02,M610095315,336.46,PAYMENT
2017-01-10,C1362782214,46031.43,CASH_OUT
2017-01-02,C539360430,144153.46,CASH_OUT
2017-01-08,C1798276972,378955.73,CASH_OUT
2017-01-10,M364965509,17147.59,PAYMENT
2017-01-15,M897474644,48213.75,PAYMENT
2017-01-02,C1702939487,210391.93,CASH_IN
2017-01-07,M1072291811,5718.88,PAYMENT
2017-01-06,C559367869,141273.15,CASH_IN
2017-01-10,M1768343139,4962.99,PAYMENT
2017-01-08,C761150919,242090.12,CASH_IN
2017-01-07,M1816242792,1854.44,PAYMENT
2017-01-08,C1512413377,78860.27,CASH_IN
2017-01-10,M1243910048,5392.12,PAYMENT
2017-01-08,M741336750,17076.51,PAYMENT
2017-01-02,C1475593328,90723.94,CASH_OUT
2017-01-21,C1512228906,111054.72,CASH_OUT
2017-01-06,C277058199,25884.0,CASH_OUT
2017-01-06,C663360097,35472.9,CASH_OUT
2017-01-14,M1177544744,34917.61,PAYMENT
2017-01-17,M633940431,38264.08,PAYMENT
2017-01-17,C689421716,378992.97,CASH_OUT
2017-01-07,C1917869329,318738.99,CASH_OUT
2017-01-06,C859222722,122363.61,CASH_OUT
2017-01-06,C1060552727,145029.16,CASH_OUT
2017-01-15,C812068864,140162.25,CASH_OUT
2017-01-25,M1967390182,23715.07,PAYMENT
2017-01-13,C1340912150,75987.34,CASH_OUT
2017-01-10,C1338973810,267612.19,CASH_IN
2017-01-11,M750457778,8360.75,PAYMENT
2017-01-13,C1386681141,143963.11,CASH_OUT
2017-01-02,C1175208170,143114.75,CASH_IN
2017-01-09,C1265009796,207918.1,CASH_IN
2017-01-25,C1152204188,57695.35,CASH_OUT
2017-01-16,M628249863,12460.31,PAYMENT
2017-01-07,C382073873,52551.05,CASH_IN
2017-01-06,C613128565,56449.99,CASH_OUT
2017-01-15,M1631103685,16532.0,PAYMENT
2017-01-02,C786631574,148331.79,CASH_OUT
2017-01-08,M853666510,5021.82,PAYMENT
2017-01-22,C366268744,195002.03,CASH_OUT
2017-01-06,C845738361,100099.26,CASH_OUT
2017-01-02,C696129952,120193.92,CASH_OUT
2017-01-07,M643846034,8452.42,PAYMENT
2017-01-29,C188307334,4126119.93,TRANSFER
2017-01-10,M1929470346,40925.8,PAYMENT
2017-01-15,M1998016541,44871.04,PAYMENT
2017-01-21,C1632482295,233176.05,CASH_IN
2017-01-13,M1324449999,10503.54,PAYMENT
2017-01-01,C1167066016,11500.21,CASH_IN
2017-01-10,C1915028592,58148.24,CASH_OUT
2017-01-09,C242522092,29475.22,CASH_OUT
2017-01-11,C1795342784,303337.36,CASH_IN
2017-01-16,C1892867454,63328.89,CASH_OUT
2017-01-08,C1346317033,298903.91,CASH_OUT
2017-01-09,C1289700186,148433.99,CASH_OUT
2017-01-12,C1683549373,136777.48,CASH_IN
2017-01-15,C2054033195,177095.18,CASH_OUT
2017-01-17,C1894379581,190472.15,CASH_OUT
2017-01-09,C1636809566,29707.73,CASH_IN
2017-01-10,C381329398,178844.4,CASH_OUT
2017-01-13,C272283941,124911.67,CASH_IN
2017-01-01,M34592661,13589.33,PAYMENT
2017-01-15,C939322176,97301.71,TRANSFER
2017-01-09,C662936276,181162.39,CASH_IN
2017-01-16,C507662577,105621.61,CASH_IN
2017-01-09,C289827146,147943.65,CASH_OUT
2017-01-15,C265311387,380803.25,CASH_IN
2017-01-29,M1667812216,361.53,PAYMENT
2017-01-01,C1219369531,364810.85,CASH_IN
2017-01-14,C1188470325,45045.18,CASH_IN
2017-01-08,C2104590009,609216.86,CASH_OUT
2017-01-07,C817067859,147973.64,CASH_OUT
2017-01-10,M1900051947,8363.79,PAYMENT
2017-01-07,C478451650,44326.32,CASH_OUT
2017-01-06,C1308018080,42441.15,CASH_IN
2017-01-02,C1027773814,62545.94,TRANSFER
2017-01-12,M1145370021,18492.44,PAYMENT
2017-01-08,M2143644128,13755.82,PAYMENT
2017-01-07,M1901970472,15330.4,PAYMENT
2017-01-13,C1740265449,76188.59,CASH_OUT
2017-01-06,C1550551160,324049.09,CASH_OUT
2017-01-11,M1247892773,15785.4,PAYMENT
2017-01-04,C498972208,180064.21,CASH_OUT
2017-01-16,C1011419007,134423.79,CASH_OUT
2017-01-06,C37924170,7927.43,CASH_IN
2017-01-10,C58470057,154692.67,CASH_OUT
2017-01-16,C219537637,34056.36,CASH_OUT
2017-01-25,C1521781395,403549.93,CASH_OUT
2017-01-15,M851408374,9432.14,PAYMENT
2017-01-22,M1310549886,23766.59,PAYMENT
2017-01-08,C879329312,402018.27,CASH_OUT
2017-01-07,M1397461092,59531.1,PAYMENT
2017-01-12,M2000728377,498.58,PAYMENT
2017-01-14,C503230706,100390.56,CASH_IN
2017-01-11,M2038676348,3645.73,PAYMENT
2017-01-01,C1351115755,620587.36,TRANSFER
2017-01-06,C503053253,199757.83,CASH_IN
2017-01-15,C1446632765,223811.3,CASH_OUT
2017-01-15,M238502720,1294.83,PAYMENT
2017-01-18,M280407292,1090.53,PAYMENT
2017-01-13,C1039401817,628302.04,TRANSFER
2017-01-10,C857726609,147185.6,CASH_OUT
2017-01-16,C1861227714,188446.12,CASH_IN
2017-01-14,C685698602,155905.17,CASH_OUT
2017-01-07,M465797053,22568.34,PAYMENT
2017-01-17,C1555061975,152261.91,CASH_OUT
2017-01-17,C973743007,346868.99,CASH_IN
2017-01-16,C1324177979,259959.84,CASH_OUT
2017-01-06,C463762904,6067.01,CASH_IN
2017-01-07,M489353970,1957.81,PAYMENT
2017-01-09,C1573602738,32998.72,CASH_OUT
2017-01-12,M962639355,8075.25,PAYMENT
2017-01-07,M1912998981,5929.29,PAYMENT
2017-01-16,C566427967,100384.08,CASH_OUT
2017-01-13,M68565807,15395.66,PAYMENT
2017-01-01,M575205576,258.55,PAYMENT
2017-01-08,C636138265,216380.5,CASH_IN
2017-01-01,M1695213463,11441.61,PAYMENT
2017-01-08,C968882805,70643.9,CASH_IN
2017-01-01,C500703366,90548.09,CASH_OUT
2017-01-07,M2075139564,166.91,PAYMENT
2017-01-12,C1378233097,492822.46,TRANSFER
2017-01-16,M481468850,51769.46,PAYMENT
2017-01-02,C1514794352,248823.52,CASH_OUT
2017-01-07,M725888020,11453.59,PAYMENT
2017-01-15,C1588957891,164464.11,CASH_OUT
2017-01-11,C1938409896,75297.9,CASH_IN
2017-01-10,C656370020,171697.74,CASH_IN
2017-01-17,C276191877,123197.02,CASH_IN
2017-01-07,M1832370665,12431.61,PAYMENT
2017-01-01,C1662898073,291331.72,CASH_IN
2017-01-01,C1650704471,345144.58,CASH_OUT
2017-01-13,C1519845212,806863.3,CASH_OUT
2017-01-07,M1416107091,761.48,PAYMENT
2017-01-23,C710342888,1523.38,DEBIT
2017-01-13,C671337546,43159.01,CASH_OUT
2017-01-11,C221754843,176461.36,CASH_OUT
2017-01-08,M1895691230,2541.55,PAYMENT
2017-01-16,C271575221,183698.96,CASH_IN
2017-01-13,M1411035807,9698.49,PAYMENT
2017-01-16,C708211451,237692.31,CASH_OUT
2017-01-14,C746609581,110101.1,CASH_IN
2017-01-02,C1297505300,135249.4,CASH_OUT
2017-01-08,C1429968288,214124.8,CASH_OUT
2017-01-08,C425492546,39995.1,CASH_OUT
2017-01-24,M70000857,2706.27,PAYMENT
2017-01-07,M882272147,31009.39,PAYMENT
2017-01-07,C857365378,143484.87,CASH_IN
2017-01-14,C1602128458,29529.5,CASH_IN
2017-01-15,M318934800,13507.86,PAYMENT
2017-01-25,C691838055,127498.89,CASH_IN
2017-01-17,C1961424733,105095.61,CASH_OUT
2017-01-11,M72606899,7204.87,PAYMENT
2017-01-16,C2082326073,62337.26,CASH_IN
2017-01-13,C1284730927,117647.31,CASH_IN
2017-01-01,C157591472,217551.94,CASH_IN
2017-01-14,C1792808381,136394.82,CASH_OUT
2017-01-12,M537397999,4224.1,PAYMENT
2017-01-01,M8336625,7925.85,PAYMENT
2017-01-16,M2111824551,9118.65,PAYMENT
2017-01-08,M320891926,6638.31,PAYMENT
2017-01-15,C402262184,2028585.1,TRANSFER
2017-01-25,C1692832856,261320.32,CASH_OUT
2017-01-13,C1181681250,155304.73,TRANSFER
2017-01-07,C172475290,168519.09,CASH_OUT
2017-01-17,C753298852,109435.04,CASH_OUT
2017-01-07,M1753025523,582.31,PAYMENT
2017-01-13,C1286928684,156493.77,CASH_OUT
2017-01-14,M782997951,10643.61,PAYMENT
2017-01-08,C1399458580,50111.49,CASH_OUT
2017-01-02,C699453810,114531.59,CASH_IN
2017-01-12,C1262011052,242746.5,TRANSFER
2017-01-08,M703180768,12467.43,PAYMENT
2017-01-15,M727473563,30729.3,PAYMENT
2017-01-06,M741223780,11600.89,PAYMENT
2017-01-15,C1697147324,128566.05,CASH_OUT
2017-01-09,C1043731023,82742.97,CASH_IN
2017-01-10,C2012864987,5621.13,CASH_OUT
2017-01-17,M1241484709,10692.93,PAYMENT
2017-01-07,C1439366836,127048.8,CASH_OUT
2017-01-01,C592093707,31580.05,CASH_OUT
2017-01-17,M414554241,59782.45,PAYMENT
2017-01-16,M1048655542,10452.21,PAYMENT
2017-01-06,M20923479,32724.57,PAYMENT
2017-01-10,C1970702528,43209.97,CASH_OUT
2017-01-15,M944416080,614.61,PAYMENT
2017-01-03,M1728022128,6345.94,PAYMENT
2017-01-08,C1047773674,273503.4,TRANSFER
2017-01-17,C1645778736,221794.83,CASH_IN
2017-01-08,M531725823,2588.54,PAYMENT
2017-01-25,C1305009774,60606.32,CASH_OUT
2017-01-17,C216592405,201007.2,CASH_OUT
2017-01-19,C250343810,139877.02,CASH_IN
2017-01-12,C2103889084,11627.6,CASH_OUT
2017-01-17,C85010535,122426.33,CASH_OUT
2017-01-01,C1837095482,275609.35,CASH_OUT
2017-01-01,C2076351339,194396.2,CASH_OUT
2017-01-02,C683138717,33077.87,CASH_OUT
2017-01-07,M510682926,3873.38,PAYMENT
2017-01-13,C876071903,328218.97,CASH_IN
2017-01-12,C321717015,83493.15,CASH_OUT
2017-01-11,M979933234,36862.87,PAYMENT
2017-01-02,C471450373,376550.63,CASH_IN
2017-01-11,M877647877,6905.63,PAYMENT
2017-01-08,C83179166,269030.81,CASH_IN
2017-01-13,C1362453499,242891.09,CASH_OUT
2017-01-08,C1584838894,233144.01,CASH_OUT
2017-01-13,C890377362,64851.41,CASH_IN
2017-01-06,C1356915369,307084.24,CASH_IN
2017-01-14,C109775032,9426.71,CASH_IN
2017-01-01,C447070962,90730.07,CASH_OUT
2017-01-07,C1560501002,11756.35,CASH_OUT
2017-01-13,C1858926350,241110.6,CASH_OUT
2017-01-06,C1646096543,102963.17,CASH_OUT
2017-01-07,C308067528,22813.55,CASH_IN
2017-01-10,C2111561670,122320.7,CASH_OUT
2017-01-01,C1824264467,225604.23,CASH_OUT
2017-01-02,C1808866632,36831.01,CASH_IN
2017-01-02,C2133414706,56418.29,CASH_IN
2017-01-09,C1172704377,249617.0,CASH_IN
2017-01-17,C2020860569,104826.04,CASH_OUT
2017-01-17,C1582426917,382764.76,CASH_IN
2017-01-11,C1754142396,79906.11,CASH_OUT
2017-01-11,M790244937,8965.3,PAYMENT
2017-01-13,C1190131047,71366.59,CASH_OUT
2017-01-10,M722510812,1878.78,PAYMENT
2017-01-01,C320737482,89610.96,CASH_OUT
2017-01-17,M895431242,6181.42,PAYMENT
2017-01-01,C250012975,104686.25,CASH_IN
2017-01-14,C796091198,88115.81,CASH_OUT
2017-01-17,C266220697,28360.65,CASH_OUT
2017-01-16,C958953991,213617.39,CASH_OUT
2017-01-15,M813735378,22663.99,PAYMENT
2017-01-02,C1941916202,26466.95,CASH_OUT
2017-01-15,C650035806,306082.37,CASH_OUT
2017-01-18,M324342131,1432.93,PAYMENT
2017-01-01,C1283374857,1130873.56,TRANSFER
2017-01-08,M684850051,1356.14,PAYMENT
2017-01-17,C339470009,112090.39,CASH_OUT
2017-01-01,C1577025186,192874.26,CASH_OUT
2017-01-01,C2077576601,151506.34,CASH_OUT
2017-01-09,C424825750,239759.86,CASH_IN
2017-01-13,C100195995,503738.93,CASH_OUT
2017-01-01,M4347320,36418.46,PAYMENT
2017-01-07,C1975918135,319441.79,CASH_OUT
2017-01-02,C739880811,186125.96,CASH_OUT
2017-01-02,C1069968715,62846.46,TRANSFER
2017-01-17,C1601205723,840454.1,TRANSFER
2017-01-02,C312713305,82504.57,CASH_OUT
2017-01-16,M1682408611,20751.36,PAYMENT
2017-01-06,C1064868912,140067.49,CASH_OUT
2017-01-09,C846135284,48899.11,CASH_OUT
2017-01-14,C549139955,2120611.12,TRANSFER
2017-01-09,C329456197,113961.29,CASH_IN
2017-01-12,C1742467356,177936.44,CASH_IN
2017-01-01,C167175733,116528.64,CASH_IN
2017-01-11,C1167337612,117174.85,CASH_OUT
2017-01-01,M818025487,9031.59,PAYMENT
2017-01-17,C369284896,284181.35,TRANSFER
2017-01-13,M736920118,5151.1,PAYMENT
2017-01-09,C639921569,4953893.08,TRANSFER
2017-01-16,C912095413,77368.75,CASH_IN
2017-01-07,C1076385632,325033.71,CASH_OUT
2017-01-07,M1484695868,8881.23,PAYMENT
2017-01-06,C2009093032,369241.59,TRANSFER
2017-01-01,C1190332895,1067740.33,TRANSFER
2017-01-13,C75404027,51688.55,CASH_OUT
2017-01-12,C1737413597,86892.84,CASH_OUT
2017-01-09,M1458926839,13573.44,PAYMENT
2017-01-09,C966018940,119043.36,CASH_OUT
2017-01-06,C1138817531,118525.92,CASH_IN
2017-01-12,C2140029833,165732.9,CASH_IN
2017-01-16,C403203523,154185.03,CASH_OUT
2017-01-12,C1108671624,390323.47,CASH_OUT
